"city","sea"
"Port-au-Prince (Haiti)","Caribbean Sea"
"Kuching Utara (Sarawak, Malaysia)","South China Sea"
"Cienfuegos (Cienfuegos, Cuba)","Caribbean Sea"
"Osaka (Osaka, Japan)","Pacific Ocean"
"Rach Gia (Vietnam)","South China Sea"
"Vladivostok (Primorskiy, Russia)","Sea of Japan"
"A Coruña (Galicia, Spain)","Atlantic Ocean"
"Colón (Colón, Panama)","Caribbean Sea"
"Ashdod (HaDarom, Israel)","Mediterranean Sea"
"Adamstown (Pitcairn)","Pacific Ocean"
"Roseau (Dominica)","Caribbean Sea"
"Jacksonville (Florida, United States)","Atlantic Ocean"
"Karachi (Sindh, Pakistan)","Arabian Sea"
"George Town (Cayman Islands)","Caribbean Sea"
"Vung Tau (Vietnam)","South China Sea"
"Chania (Kritis, Greece)","Mediterranean Sea"
"Aberdeen (Scotland, United Kingdom)","North Sea"
"Carrefour (Haiti)","Caribbean Sea"
"Kavala (Anatolikis Makedonias kai Thrakis, Greece)","Mediterranean Sea"
"Cagayan De Oro (Northern Mindanao, Philippines)","Sulawesi Sea"
"Setúbal (Setubal, Portugal)","Atlantic Ocean"
"Yantai (Shandong, China)","Yellow Sea"
"Iqaluit (Nunavut, Canada)","Labrador Sea"
"Sochi (Krasnodarskiy, Russia)","Black Sea"
"Iskenderun (Hatay, Turkey)","Mediterranean Sea"
"Lagos (Lagos, Nigeria)","Atlantic Ocean"
"Faro (Algarve, Portugal)","Atlantic Ocean"
"Puerto Cabello (Carabobo, Venezuela)","Caribbean Sea"
"Georgetown (Guyana)","Atlantic Ocean"
"Istanbul (İstanbul, Turkey)","Black Sea"
"Istanbul (İstanbul, Turkey)","Marmara Sea"
"Trujillo (La Libertad, Peru)","Pacific Ocean"
"Hamhung-Hungnam (North Korea)","Sea of Japan"
"Almada (Lisboa, Portugal)","Atlantic Ocean"
"Al Rayyan (Qatar)","Persian Gulf"
"New Taipei (Taiwan)","East China Sea"
"La Spezia (Liguria, Italy)","Mediterranean Sea"
"Bayrūt (Lebanon)","Mediterranean Sea"
"Gävle (Gävleborg, Sweden)","Baltic Sea"
"Sekondi (Western, Ghana)","Atlantic Ocean"
"Plymouth (Montserrat)","Caribbean Sea"
"Bacolod (Western Visayas, Philippines)","Sulu Sea"
"Valencia (Valenciana, Spain)","Mediterranean Sea"
"Phuket (Thailand)","Andaman Sea"
"Hamilton (Bermuda)","Atlantic Ocean"
"Guantánamo (Guantánamo, Cuba)","Caribbean Sea"
"Fakaofo (Tokelau)","Pacific Ocean"
"Natal (Rio Grande do Norte, Brazil)","Atlantic Ocean"
"Maputo (Cidade de Maputo, Mozambique)","Indian Ocean"
"Kota Kinabalu (Sabah, Malaysia)","South China Sea"
"Charlotte Amalie (Virgin Islands)","Caribbean Sea"
"Río Gallegos (Santa Cruz, Argentina)","Atlantic Ocean"
"Santa Marta (Magdalena, Colombia)","Caribbean Sea"
"Telde (Canarias, Spain)","Atlantic Ocean"
"Magé (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Mar del Plata (Buenos Aires, Argentina)","Atlantic Ocean"
"Melilla (Melilla)","Mediterranean Sea"
"Molde (Møre og Romsdal, Norway)","Norwegian Sea"
"Avarua (Cook Islands)","Pacific Ocean"
"Tema (Greater Accra, Ghana)","Atlantic Ocean"
"La Palma (Darién, Panama)","Pacific Ocean"
"Kalmar (Kalmar, Sweden)","Baltic Sea"
"Valletta (Malta)","Mediterranean Sea"
"Larnaka (Cyprus)","Mediterranean Sea"
"Takamatsu (Kagawa, Japan)","Pacific Ocean"
"Nuuk (Greenland)","Labrador Sea"
"Melekeok (Palau)","Pacific Ocean"
"Chon Buri (Thailand)","South China Sea"
